probe_name,visual_area,presentation_type,interval_start,interval_end,max_phi,max_phi_state,total_distinctions,total_integrated_information_distinctions,total_cause_information,total_effect_information,total_relations,total_integrated_information_relations,faces_1_9,faces_10_30,faces_30_plus
probe_773463015,VISam,natural_move_one,1,50,4.242234986328118,"[0, 0, 1]",7,1.9191309313469997,5.1608306816267575,4.686905041227229,50,2.3231040549810342,32,14,4
probe_773463015,VISam,natural_move_one,51,100,4.2316171258904225,"[0, 0, 0]",7,1.9416073806379,5.233120435431617,4.679897030243976,43,2.2900097452525143,32,9,2
probe_773463015,VISam,natural_move_one,101,150,4.077863347541905,"[0, 0, 0]",7,1.9133720788737,5.559229065757276,6.057302579951399,36,2.164491268668263,29,6,1
probe_773463015,VISam,natural_move_one,151,200,3.9361543167782376,"[1, 0, 1]",7,1.9260783488852,4.329339965067903,4.614144719533551,53,2.0100759678930378,53,0,0
probe_773463015,VISam,natural_move_three,1,50,4.0973374195431775,"[0, 1, 1]",7,1.9870886570544999,4.898961904947372,5.126552340643409,38,2.110248762488763,28,8,2
probe_773463015,VISam,natural_move_three,51,100,4.120233821086227,"[0, 0, 1]",7,1.9645237495953998,4.811612608499961,5.783735658214138,46,2.1557100714908124,39,7,0
probe_773463015,VISam,natural_move_three,101,150,4.14565333978362,"[0, 0, 1]",7,1.9722406105653,6.101274637180946,5.941619398518707,47,2.1734127292183594,36,10,1
probe_773463015,VISam,natural_move_three,151,200,3.9034479095413466,"[1, 0, 1]",7,1.9036242351208,4.411595826441582,4.321417108921975,48,1.9998236744205657,35,11,2
probe_773463015,VISam,flashes,1,50,3.7780590294179333,"[1, 0, 1]",7,1.8274570477895,4.735802203953074,4.757388047637505,51,1.9506019816285287,38,11,2
probe_773463015,VISam,flashes,51,100,4.112213702923198,"[0, 0, 0]",7,1.8652226274336003,4.6598040732327455,4.870744353592825,62,2.2469910754895506,55,7,0
probe_773463015,VISam,flashes,101,150,3.958767735825378,"[0, 0, 1]",7,1.8874918196541,5.355949544093891,4.321440835352345,39,2.071275916171281,23,10,6
probe_773463015,VISam,flashes,151,200,4.0194840606967634,"[0, 1, 1]",7,1.9142027863117,4.328896250464706,4.759327378779681,49,2.1052812743851264,32,14,3
probe_773463015,VISam,static_gratings,1,50,3.8374261982161855,"[1, 1, 0]",7,1.8734771834728,5.318073714983485,4.896433410927064,54,1.9639490147433436,51,3,0
probe_773463015,VISam,static_gratings,51,100,4.5418840318514935,"[0, 0, 1]",7,2.0567724483426,5.190411257257931,6.348920512455095,51,2.485111583508848,30,16,5
probe_773463015,VISam,static_gratings,101,150,3.8126335853950692,"[1, 1, 0]",7,1.8559032590224,4.224970941422958,3.6005481130770223,60,1.9567303263726257,60,0,0
probe_773463015,VISam,static_gratings,151,200,3.948648814069422,"[1, 0, 0]",7,1.8934001153289997,4.9486979912629145,5.257451966599987,55,2.055248698740425,38,14,3
probe_773463015,VISam,gabors,1,50,4.124143295698729,"[1, 1, 1]",7,1.9862141633534,5.613603424905901,6.137668923324336,54,2.1379291323452976,35,16,3
probe_773463015,VISam,gabors,51,100,4.098424893192792,"[0, 0, 0]",7,1.9653854156443997,5.593870763425578,5.2481116610411265,55,2.133039477548389,37,12,6
probe_773463015,VISam,gabors,101,150,4.480197537781805,"[1, 0, 0]",7,2.0274430399249,4.342307278854453,5.683020095115371,39,2.4527544978568225,29,8,2
probe_773463015,VISam,gabors,151,200,4.383381502429048,"[1, 0, 0]",7,2.0384695525222,5.301227128158677,5.490793219901025,51,2.3449119499067654,35,10,6
probe_773463015,VISam,natural_scenes,1,50,4.116422770706915,"[1, 1, 0]",7,2.0079492230443,4.5388078778470415,4.4944334002573445,34,2.10847354766276,24,8,2
probe_773463015,VISam,natural_scenes,51,100,4.222412980546487,"[1, 1, 1]",7,1.9996851703349001,4.7910793697628575,5.297064044370967,53,2.2227278102117762,46,7,0
probe_773463015,VISam,natural_scenes,101,150,4.1369076354540955,"[0, 0, 0]",7,1.9699396783718,4.850353162915197,4.929929285535361,35,2.1669679570822917,19,10,6
probe_773463015,VISam,natural_scenes,151,200,4.199587073284699,"[0, 0, 0]",7,2.0108494456309,5.719583694906154,6.157850557742574,46,2.188737627653643,35,9,2
probe_773463015,VISam,natural_move_one,1,50,4.287380274617826,"[1, 0, 1]",7,2.0372406465334,5.246326149774514,5.512848297144588,51,2.250139628084431,35,10,6
probe_773463015,VISam,natural_move_one,51,100,4.476516558947365,"[0, 0, 0]",7,2.0263135391192,5.201563938223366,4.0652156454337876,63,2.4502030198281557,38,20,5
probe_773463015,VISam,natural_move_one,101,150,4.334229351668957,"[1, 1, 0]",7,2.0073697413545997,5.467299435998438,5.631837196025382,43,2.3268596103143664,29,11,3
probe_773463015,VISam,natural_move_one,151,200,4.400563089381844,"[0, 1, 1]",7,2.0307279902982,5.940674857456342,5.774289879311243,43,2.3698350990836827,24,13,6
probe_773463015,VISam,natural_move_three,1,50,4.535421952736845,"[0, 1, 0]",7,2.1009411925987997,5.967114872990753,5.955660021777468,39,2.434480760137868,21,12,6
probe_773463015,VISam,natural_move_three,51,100,4.436780389506657,"[0, 0, 0]",7,2.0845671138712,5.528290164507571,5.0848389454393965,37,2.352213275635615,21,10,6
probe_773463015,VISam,natural_move_three,101,150,4.367052795736294,"[0, 1, 1]",7,2.0607553344419003,5.330748982482662,5.0155821755886665,42,2.3062974612943226,31,9,2
probe_773463015,VISam,natural_move_three,151,200,4.226871748717027,"[1, 1, 1]",7,1.9843653185310999,4.049334178837581,3.5120388402505687,47,2.242506430185908,44,3,0
probe_773463015,VISam,flashes,1,50,4.456810155795207,"[1, 1, 1]",7,2.0699478400632003,4.304377702378535,4.65725923029082,47,2.3868623157318716,34,11,2
probe_773463015,VISam,flashes,51,100,4.176905521975703,"[0, 1, 1]",7,1.9886161224249,4.851094280892724,5.220626418175869,54,2.188289399550751,43,9,2
probe_773463015,VISam,flashes,101,150,4.373583211685338,"[1, 1, 0]",7,2.0601952205283998,4.6132371677984505,4.600323533829517,34,2.3133879911570108,24,8,2
probe_773463015,VISam,flashes,151,200,4.380690104866609,"[0, 0, 0]",7,2.0281037796132,5.877063019178708,6.243246637776222,47,2.3525863252535313,27,14,6
probe_773463015,VISam,static_gratings,1,50,4.152776047801533,"[0, 1, 0]",7,2.0202975574576003,5.42506897919742,6.065921007864524,38,2.1324784903439378,27,9,2
probe_773463015,VISam,static_gratings,51,100,4.448035604262611,"[0, 0, 0]",7,2.0854008404965,5.641905926850634,5.490030507537103,54,2.362634763766128,37,14,3
probe_773463015,VISam,static_gratings,101,150,4.027172346206887,"[0, 1, 0]",7,1.9418690850149,5.251059991522077,4.891348269483532,55,2.0853032611919313,36,16,3
probe_773463015,VISam,static_gratings,151,200,4.379756382552136,"[0, 1, 0]",7,2.0484119681609,5.9951358471764395,5.027151900994545,55,2.3313444143913054,39,10,6
probe_773463015,VISam,gabors,1,50,4.12313555081988,"[0, 0, 1]",7,1.9668062638718,4.802879329995399,5.544435248244217,53,2.156329286948152,49,4,0
probe_773463015,VISam,gabors,51,100,4.400179877831347,"[0, 1, 1]",7,2.0051374263337998,5.420211807858847,5.819446045808995,55,2.3950424514975044,37,12,6
probe_773463015,VISam,gabors,101,150,4.213631254270815,"[0, 0, 0]",7,2.0316641721307,5.378416622078085,5.587061531961543,41,2.1819670821401838,23,12,6
probe_773463015,VISam,gabors,151,200,4.6058606466907825,"[1, 0, 1]",7,2.1056413845209994,5.413432529660045,6.588662437456615,55,2.5002192621698294,30,19,6
probe_773463015,VISam,natural_scenes,1,50,4.250704493510813,"[0, 0, 1]",7,2.0474113360987998,5.281730986940124,5.404954254276083,46,2.20329315741199,39,7,0
probe_773463015,VISam,natural_scenes,51,100,4.253109060049159,"[1, 1, 1]",7,2.0851129504451995,6.475905474950903,5.522113911433173,46,2.167996109603938,39,7,0
probe_773463015,VISam,natural_scenes,101,150,4.346287826305001,"[1, 1, 0]",7,2.1020260533697996,5.2132459623426115,4.261175191867899,54,2.244261772935222,43,11,0
probe_773463015,VISam,natural_scenes,151,200,4.347952716649456,"[1, 1, 1]",7,2.0635420307997006,4.803361947381985,3.9970788217560385,51,2.2844106858498243,38,11,2
probe_773463015,VISam,natural_move_one,1,50,4.252653977552861,"[0, 0, 0]",7,2.0621570723934997,4.998825151179239,4.909369385983792,52,2.190496905159405,52,0,0
probe_773463015,VISam,natural_move_one,51,100,4.357530992311745,"[0, 1, 0]",7,2.0843425863431997,5.523457427292696,5.099564331351303,43,2.273188405968674,27,10,6
